Place,Lat,Long

"JFK Airport, New York",40.6446245,-73.7797035

"Murray Hill, New York",40.7478792,-73.9756567

"Lincoln Square East, New York",40.7741769,-73.98491179999999

"Upper West Side North, New York",40.7870106,-73.9753676

"World Trade Center, New York",40.7118011,-74.0131196

"Little Italy/NoLiTa, New York",40.7191413,-73.9973273

"Clinton East, New York",40.7637581,-73.9918181

"Union Sq, New York",40.7358633,-73.9910835

"LaGuardia Airport, New York",40.7766422,-73.8742467

"Ridgewood, New York",40.7043986,-73.9018292

"Hillcrest/Pomonok, New York",40.732341,-73.81077239999999

"Lenox Hill West, New York",40.7390377,-73.9980848

"Gramercy, New York",40.7367783,-73.9844722

"East Village, New York",40.7264773,-73.98153370000001

"Times Sq/Theatre District, New York",40.7579747,-73.9855426

"Meatpacking/West Village West, New York",40.7409865,-74.0076108

"Yorkville West, New York",40.7762231,-73.94920789999999

"Midtown Center, New York",40.7314658,-73.9970956

"Financial District South, New York",40.7077143,-74.00827869999999

"Fort Greene, New York",40.6920638,-73.97418739999999

"Midtown North, New York",40.7649516,-73.9851039

"Midtown East, New York",40.7571432,-73.9718815

"Lincoln Square West, New York",40.7741769,-73.98491179999999

"Brooklyn Heights, New York",40.6959294,-73.9955523

"East Williamsburg, New York",40.7141953,-73.9316461

"UN/Turtle Bay South, New York",40.7493281,-73.96792409999999

"SoHo, New York",40.7245908,-74.00191740000001

"TriBeCa/Civic Center, New York",40.7157238,-74.00703159999999

"West Village, New York",40.73468,-74.0047554

"Flatiron, New York",40.740083,-73.9903489

"Park Slope, New York",40.6710672,-73.98142279999999

"Upper East Side South, New York",40.7735649,-73.9565551

"Morningside Heights, New York",40.8105443,-73.9620581

"Sutton Place/Turtle Bay North, New York",40.7580104,-73.9602123

"Garment District, New York",40.7547072,-73.9916342

"Stuy Town/Peter Cooper Village, New York",40.7316903,-73.9778494

"Lenox Hill East, New York",40.7662315,-73.9602312

"East Chelsea, New York",40.7465004,-74.00137370000002

"Midtown South, New York",40.7521795,-73.9875438

"Jackson Heights, New York",40.7556818,-73.8830701

"Penn Station/Madison Sq West, New York",40.7888944,-74.0163219

"Lower East Side, New York",40.715033,-73.9842724

"Upper East Side North, New York",40.7735649,-73.9565551

"Woodside, New York",40.7532704,-73.9068858

"Kips Bay, New York",40.74232920000001,-73.9800645

"Canarsie, New York",40.640248,-73.9060662

"Baisley Park, New York",40.6848044,-73.78222509999999

"West Chelsea/Hudson Yards, New York",40.754247,-74.0022078

"Manhattanville, New York",40.8169443,-73.9558333

"Williamsburg (South Side), New York",40.70824229999999,-73.9571487

"Washington Heights South, New York",40.8417082,-73.9393554

"Hudson Sq, New York",40.7266108,-74.0074328

"East Harlem South, New York",40.7957399,-73.93892129999999

"Jamaica, New York",40.7037439,-73.7991953

"Long Island City/Hunters Point, New York",40.7485587,-73.94964639999999

"Astoria, New York",40.7643574,-73.92346189999999

"Greenwich Village North, New York",40.7335719,-74.0027418

"Bedford, New York",41.204262,-73.6437397

"Clinton Hill, New York",40.6896834,-73.9661144

"Greenpoint, New York",40.7304701,-73.95150319999999

"Outside of NYC, New York",40.7584564,-73.9900329

"Central Harlem North, New York",40.8089419,-73.9482305

"Chinatown, New York",40.7157509,-73.9970307

"East Harlem North, New York",40.7957399,-73.93892129999999

"Sunnyside, New York",40.7432759,-73.9196324

"Inwood, New York",40.8677145,-73.9212019

"Douglaston, New York",40.76401509999999,-73.7433727

"Upper West Side South, New York",40.7870106,-73.9753676

"Bushwick South, New York",40.6942821,-73.925924

"Bloomingdale, New York",44.4078279,-74.0870965

"Windsor Terrace, New York",40.6539346,-73.9756567

"Hamilton Heights, New York",40.8252793,-73.94761390000001

"Yorkville East, New York",40.7762231,-73.94920789999999

"Crown Heights North, New York",40.6694022,-73.9422324

"Flatlands, New York",40.6232714,-73.9321664

"Manhattan Valley, New York",40.7966989,-73.9684247

"Central Harlem, New York",40.8089419,-73.9482305

"South Ozone Park, New York",40.6764003,-73.8124984

"Mott Haven/Port Morris, New York",40.8022025,-73.9166051

"Old Astoria, New York",40.7643574,-73.92346189999999

"Bushwick North, New York",40.6957755,-73.9170604

"Greenwich Village South, New York",40.7335719,-74.0027418

"Far Rockaway, New York",40.5998931,-73.74484369999999

"Central Park, New York",40.7825547,-73.9655834

"Sunset Park East, New York",40.6526345,-74.0091872

"East Elmhurst, New York",40.7660427,-73.8758704

"Ocean Hill, New York",40.6782737,-73.9108212

"Alphabet City, New York",40.7258428,-73.9774916

"Williamsburg (North Side), New York",40.7162503,-73.9585348

"Steinway, New York",40.7745459,-73.9037477

"Seaport, New York",40.70722629999999,-74.0027431

"Hollis, New York",40.7112203,-73.762495

"Crown Heights South, New York",40.6694022,-73.9422324

"Cobble Hill, New York",40.686536,-73.9962255

"West Concourse, New York",40.821916,-73.92423640000001

"Soundview/Castle Hill, New York",40.8160477,-73.8605248

"Boerum Hill, New York",40.6848689,-73.9844722

"Prospect-Lefferts Gardens, New York",40.6592355,-73.9533895

"Washington Heights North, New York",40.852476,-73.9342996

"Flushing Meadows-Corona Park, New York",40.7400625,-73.8406875

"Longwood, New York",40.8248438,-73.8915875

"Broad Channel, New York",40.6158335,-73.8213213

"Two Bridges/Seward Park, New York",40.7107469,-73.99696

"Elmhurst, New York",40.73940350000001,-73.8779431

"DUMBO/Vinegar Hill, New York",40.7033164,-73.9881451

"Riverdale/North Riverdale/Fieldston, New York",40.9090464,-73.90364869999999

"Forest Hills, New York",40.718106,-73.8448469

"Pelham Bay, New York",40.8438486,-73.8304179

"South Jamaica, New York",40.6804703,-73.7920918

"Battery Park City, New York",40.7115786,-74.0158441

"Maspeth, New York",40.7294018,-73.9065883

"Kew Gardens, New York",40.705695,-73.8272029

"Prospect Heights, New York",40.6774196,-73.9668408

"Bedford Park, New York",40.8700999,-73.8856912

"Elmhurst/Maspeth, New York",40.73940350000001,-73.8779431

"North Corona, New York",40.7543725,-73.8669188

"Melrose South, New York",40.824545,-73.9104143

"Financial District North, New York",40.7077143,-74.00827869999999

"Stuyvesant Heights, New York",40.6824166,-73.9319933

"Rego Park, New York",40.72557219999999,-73.8624893

"Sunset Park West, New York",40.6526345,-74.0091872

"Bay Ridge, New York",40.6263732,-74.0298767

"Murray Hill-Queens, New York",40.7634996,-73.8073261

"Briarwood/Jamaica Hills, New York",40.7135548,-73.796488

"Long Island City/Queens Plaza, New York",40.7509941,-73.9402697

"Springfield Gardens South, New York",40.6640496,-73.7685614

"Saint Albans, New York",40.6895283,-73.76436880000001

"Downtown Brooklyn/MetroTech, New York",40.6930744,-73.9856649

"Queens Village, New York",40.7156628,-73.7419017

"Kensington, New York",40.63852019999999,-73.97318729999999

"Soundview/Bruckner, New York",40.8247728,-73.8695889

